Reference,Quantity,Value,Manufacturer,Manufacturer Part Number,Description,Package Or Form,Assembly Notes,Status
C_BQ_VBUS,2,10 uF 50 V X7R,Tdk,C3225X7R1H106KT000E,BQ25798 VBUS capacitors,1210,JLCPCB C432929,locked_common_part
C_BQ_PMID,3,10 uF 50 V X7R,Tdk,C3225X7R1H106KT000E,BQ25798 PMID capacitors,1210,JLCPCB C432929,locked_common_part
C_BQ_SYS,5,10 uF 50 V X7R,Tdk,C3225X7R1H106KT000E,BQ25798 SYS capacitors,1210,JLCPCB C432929,locked_common_part
C_BQ_BAT,2,10 uF 50 V X7R,Tdk,C3225X7R1H106KT000E,BQ25798 BAT capacitors,1210,JLCPCB C432929,locked_common_part
C_BQ_HF,3,100 nF 50 V X7R,Tdk,CGA2B3X7R1H104K050BD,BQ25798 VBUS/PMID/SYS high-frequency bypass,0402,JLCPCB C2167088,locked_common_part
C_REGN,1,4.7 uF 25 V X7R,Tdk,C3216X7R1E475K160AC,BQ25798 REGN capacitor,1206,Place immediately beside U1 REGN,locked
C_BTST,2,47 nF 50 V X7R,Tdk,C1005X7R1H473M050BB,BQ25798 bootstrap capacitors,0402,JLCPCB C3846080,locked_common_part
C_SDRV,1,1 nF 50 V C0G,Tdk,C1005C0G1H102J050BA,BQ25798 SDRV capacitor,0402,JLCPCB C2182279,locked
R_LTC_UVOV_R3,1,1.78 MOhm 1%,TBD,TBD,LTC4365 UV/OV divider top resistor for 6 V solar panel class,0603,Select stocked 1% or better part during sourcing,locked_candidate_value
R_LTC_UVOV_R2,1,180 kOhm 0.1%,TBD,TBD,LTC4365 UV/OV divider middle resistor for 6 V solar panel class,0603,Select stocked 0.1% or better part during sourcing,locked_candidate_value
R_LTC_UVOV_R1,1,40.2 kOhm 0.1%,TBD,TBD,LTC4365 UV/OV divider bottom resistor,0603,Select stocked 0.1% or better part during sourcing,locked_candidate_value
C_TPS_VIN,2,22 uF 16 V X7R,Murata,GRM31CZ71C226ME15L,TPS61088 VIN capacitors,1206,JLCPCB C909845,locked_common_part
C_E22_22U,2,22 uF 16 V X7R,Murata,GRM31CZ71C226ME15L,E22 local 5 V rail ceramic capacitors,1206,JLCPCB C909845,locked_common_part
C_TPS_VOUT,2,47 uF 10 V X5R,Tdk,C3225X5R1A476MT000E,TPS61088 VOUT capacitors,1210,JLCPCB C76680,locked
C_TPS_VIN_HF,1,100 nF 50 V X7R,Tdk,CGA2B3X7R1H104K050BD,TPS61088 VIN high-frequency bypass,0402,JLCPCB C2167088,locked_common_part
C_E22_1U,1,1 uF 16 V X7R,Murata,GCM188R71C105KA64D,E22 local bypass,0603,JLCPCB C161212,locked
C_E22_HF,2,100 nF 16 V X7R,Murata,GCJ188R71C104KA01D,E22 local high-frequency bypass,0603,JLCPCB C710619,locked_common_part
C_E22_BULK,1,330 uF 10 V polymer,Panasonic,10SVPC330M,E22 local bulk capacitor,SMD polymer can 8 x 6.9 mm,JLCPCB C347574,locked
R_TS_UPPER,1,5.23 kOhm 1%,KOA,RN73H1JTTD5231B25,BQ25798 REGN-to-TS resistor,0603,JLCPCB C4047317,locked
R_TS_LOWER,1,30.1 kOhm 1%,Stackpole,RNCF0603BKE30K1,BQ25798 TS-to-NTC node resistor,0603,JLCPCB C4314708,locked
R_BATP,1,100 Ohm,Walsin,MR06X1000FTL,BQ25798 BATP Kelvin series resistor,0603,JLCPCB C327825,locked
R_PROG,1,4.70 kOhm 1%,Walsin,WR06X4701FTL,BQ25798 PROG resistor,0603,JLCPCB C163914,locked
R_INT_PULLUP,1,10 kOhm,Yageo,RC0603FR-0710KL,BQ25798 INT pullup to 3V3,0603,JLCPCB C98220; not routed to MCU,locked
R_I2C_PULLUP,2,10 kOhm,Yageo,RC0603FR-0710KL,BQ25798 SDA/SCL pullups to 3V3,0603,JLCPCB C98220,locked
CHG_LED_RES,1,2.2 kOhm 1%,Walsin,WR06X2201FTL,BQ25798 charge LED series resistor,0603,JLCPCB C163872,locked
R_TPS_FB_TOP,1,176 kOhm 0.1%,KOA,RN731JTTD1763B50,TPS61088 feedback top resistor,0603,JLCPCB C4291479,locked
R_TPS_FB_BOTTOM,1,56.0 kOhm 0.1%,Yageo,RP0603BRD0756KL,TPS61088 feedback bottom resistor,0603,JLCPCB C6196204,locked
R_TPS_FSW,1,330 kOhm,Viking Tech,ARG03FTC3303,TPS61088 frequency resistor,0603,JLCPCB C217968,locked
R_TPS_ILIM,1,100 kOhm,Yageo,RC0603FR-07100KL,TPS61088 current-limit resistor,0603,JLCPCB C14675,locked
R_TPS_COMP,1,20.0 kOhm,Vishay,CRCW060320K0FKEA,TPS61088 compensation resistor,0603,JLCPCB C844923,locked
C_TPS_COMP,1,4.7 nF,TBD,TBD,TPS61088 compensation capacitor,0603,Footprint fixed by schematic capture; select stocked C0G/X7R part during sourcing,locked_value
C_TPS_SS,1,47 nF,TBD,TBD,TPS61088 soft-start capacitor,0603,Footprint fixed by schematic capture; select stocked X7R part during sourcing,locked_value
C_TPS_VCC,1,2.2 uF,TBD,TBD,TPS61088 VCC bypass,0805,Footprint fixed by schematic capture; select stocked X7R part during sourcing,locked_value
C_TPS_BOOT,1,100 nF,TBD,TBD,TPS61088 BOOT capacitor,0603,Footprint fixed by schematic capture; select stocked X7R part during sourcing,locked_value
R_TPS_EN_PD,1,100 kOhm,Yageo,RC0603FR-07100KL,TPS61088 EN pulldown,0603,JLCPCB C14675,locked
