Reference,Component,Pin,Pin Name,Net,Notes
MOD1,XIAO nRF52840,D0,D0/P0.02,E22_NRST,To E22 pin 15
MOD1,XIAO nRF52840,D1,D1/P0.03,E22_DIO1,To E22 pin 13
MOD1,XIAO nRF52840,D2,D2/P0.28,E22_BUSY,To E22 pin 14
MOD1,XIAO nRF52840,D3,D3/P0.29,E22_NSS,To E22 pin 19
MOD1,XIAO nRF52840,D4,D4/P0.04,I2C_SDA,To BQ25798 SDA with 10 kOhm pullup to 3V3
MOD1,XIAO nRF52840,D5,D5/P0.05,I2C_SCL,To BQ25798 SCL with 10 kOhm pullup to 3V3
MOD1,XIAO nRF52840,D6,D6/P1.11,E22_RXEN,To E22 pin 6
MOD1,XIAO nRF52840,D7,D7/P1.12,BOOST_EN,To TPS61088 EN with 100 kOhm pulldown
MOD1,XIAO nRF52840,D8,D8/P1.13,SPI_SCK,To E22 pin 18
MOD1,XIAO nRF52840,D9,D9/P1.14,SPI_MISO,From E22 pin 16
MOD1,XIAO nRF52840,D10,D10/P1.15,SPI_MOSI,To E22 pin 17
MOD1,XIAO nRF52840,3V3,3V3,3V3,Logic pullups and charge LED source
MOD1,XIAO nRF52840,GND,GND,GND,Carrier ground
MOD1,XIAO nRF52840,5V,5V/VBUS,USB_VBUS_RAW,USB input source to charger only; carrier must not drive this pin
MOD2,E22-900M33S,1,GND,GND,Module ground
MOD2,E22-900M33S,2,GND,GND,Module ground
MOD2,E22-900M33S,3,GND,GND,Module ground
MOD2,E22-900M33S,4,GND,GND,Module ground
MOD2,E22-900M33S,5,GND,GND,Module ground
MOD2,E22-900M33S,6,RXEN,E22_RXEN,XIAO controlled active-high RX enable
MOD2,E22-900M33S,7,TXEN,E22_TXEN_DIO2,Direct to DIO2 pin 8
MOD2,E22-900M33S,8,DIO2,E22_TXEN_DIO2,Direct to TXEN pin 7; firmware enables SX1262 RF-switch control
MOD2,E22-900M33S,9,VCC,5V_RADIO,Regulated radio rail
MOD2,E22-900M33S,10,VCC,5V_RADIO,Regulated radio rail
MOD2,E22-900M33S,11,GND,GND,Module ground
MOD2,E22-900M33S,12,GND,GND,Module ground
MOD2,E22-900M33S,13,DIO1,E22_DIO1,To XIAO D1
MOD2,E22-900M33S,14,BUSY,E22_BUSY,To XIAO D2
MOD2,E22-900M33S,15,NRST,E22_NRST,To XIAO D0
MOD2,E22-900M33S,16,MISO,SPI_MISO,To XIAO D9
MOD2,E22-900M33S,17,MOSI,SPI_MOSI,From XIAO D10
MOD2,E22-900M33S,18,SCK,SPI_SCK,From XIAO D8
MOD2,E22-900M33S,19,NSS,E22_NSS,From XIAO D3
MOD2,E22-900M33S,20,GND,GND,RF-adjacent ground
MOD2,E22-900M33S,21,ANT,RF_915,50 ohm GCPW to SMA center
MOD2,E22-900M33S,22,GND,GND,RF-adjacent ground
U1,BQ25798RQMR,1,STAT,BQ_STAT,Charge LED sink path
U1,BQ25798RQMR,2,VBUS,BQ_VBUS,Common charger input after input selector MOSFETs
U1,BQ25798RQMR,3,VBUS,BQ_VBUS,Common charger input after input selector MOSFETs
U1,BQ25798RQMR,4,BTST1,BQ_BTST1,47 nF to BQ_SW1
U1,BQ25798RQMR,5,REGN,BQ_REGN,4.7 uF to GND; feeds ILIM_HIZ and TS bias
U1,BQ25798RQMR,6,D+,NC,Explicit no-connect
U1,BQ25798RQMR,7,D-,NC,Explicit no-connect
U1,BQ25798RQMR,8,VAC2,USB_VBUS_RAW,USB source sense before USB selector MOSFET pair
U1,BQ25798RQMR,9,VAC1,SOLAR_PROTECTED,Solar source sense after LTC4365 protection
U1,BQ25798RQMR,10,ACDRV2,BQ_ACDRV2,Gates of USB selector MOSFET pair
U1,BQ25798RQMR,11,ACDRV1,BQ_ACDRV1,Gates of solar selector MOSFET pair
U1,BQ25798RQMR,12,QON,NC,Explicit no-connect; internal pullup retained
U1,BQ25798RQMR,13,CE,GND,Active-low charge enable tied enabled
U1,BQ25798RQMR,14,SCL,I2C_SCL,To XIAO D5 with 10 kOhm pullup
U1,BQ25798RQMR,15,SDA,I2C_SDA,To XIAO D4 with 10 kOhm pullup
U1,BQ25798RQMR,16,TS,BQ_TS,103AT-2 NTC network
U1,BQ25798RQMR,17,ILIM_HIZ,BQ_REGN,Maximum hardware input-current ceiling
U1,BQ25798RQMR,18,BATP,BATP_KELVIN,100 Ohm Kelvin sense branch from BAT_RAW
U1,BQ25798RQMR,19,BTST2,BQ_BTST2,47 nF to BQ_SW2
U1,BQ25798RQMR,20,PROG,BQ_PROG,4.70 kOhm to GND
U1,BQ25798RQMR,21,INT,BQ_INT,10 kOhm pullup to 3V3; no MCU connection
U1,BQ25798RQMR,22,BAT,BAT_RAW,Battery-positive power node
U1,BQ25798RQMR,23,BAT,BAT_RAW,Battery-positive power node
U1,BQ25798RQMR,24,SDRV,BQ_SDRV,1 nF C0G to GND; no ship FET
U1,BQ25798RQMR,25,SYS,BQ_SYS,System rail feeding TPS61088
U1,BQ25798RQMR,26,SW2,BQ_SW2,Charger inductor terminal 2
U1,BQ25798RQMR,27,GND,GND,Power ground
U1,BQ25798RQMR,28,SW1,BQ_SW1,Charger inductor terminal 1
U1,BQ25798RQMR,29,PMID,BQ_PMID,3 x 10 uF plus 100 nF to GND
U2,LM66100DCKR,1,VIN,BAT_RAW,Protected battery/system node
U2,LM66100DCKR,2,GND,GND,Ground
U2,LM66100DCKR,3,CE,XIAO_BAT_ISO,Tie CE to VOUT for always-on reverse-current blocking
U2,LM66100DCKR,4,NC,NC,Explicit no-connect
U2,LM66100DCKR,5,ST,GND,Unused status tied to GND per TI guidance
U2,LM66100DCKR,6,VOUT,XIAO_BAT_ISO,To XIAO battery harness connector pin 1
